Price,Close,High,Low,Open,Volume
Ticker,QQQ,QQQ,QQQ,QQQ,QQQ
Date,,,,,
2020-07-30,252.9493865966797,253.51120348844108,248.5128511859053,249.66557351567874,41774500
2020-07-31,257.46337890625,257.61836999756144,252.67813612254838,257.57961483435156,53686300
2020-08-03,260.94097900390625,261.6868461187918,259.4782742024899,259.60420634586166,32081600
2020-08-04,261.90960693359375,262.0064800706221,259.69133921022785,260.43720619843725,24911300
2020-08-05,262.55859375,263.013870876457,261.50274457620185,262.3939360268414,21612100
2020-08-06,266.03619384765625,266.3655389060242,261.72558997716914,262.3649172886603,28048200
2020-08-07,262.9654541015625,266.2686299864204,260.81500054690395,265.4936744577192,44969400
2020-08-10,261.84173583984375,263.45943114798354,258.3157849987281,263.25598873600654,35088400
2020-08-11,256.8822326660156,261.9677626976184,256.33977849423417,260.67941186848594,43104300
2020-08-12,263.3432312011719,264.2925406753799,258.9939021343989,259.0423534851985,38773400
2020-08-13,263.94378662109375,266.2201424255956,263.0041734939043,264.11814050576146,31895700
2020-08-14,263.6338195800781,264.83496360319526,262.2389292996389,264.5637365798614,30799500
2020-08-17,266.69482421875,267.1985230960844,263.67257183168755,265.3483557367484,24803000
2020-08-18,269.2618408203125,269.73648078833924,266.29770594275635,267.7604105776569,23529500
2020-08-19,267.4504699707031,270.27897697672944,266.93707475348714,269.2231275511923,31999400
2020-08-20,271.1603698730469,271.6447059159287,266.24919530345903,266.6560505865512,27723400
2020-08-21,273.0396728515625,273.49495004233717,270.7051689211252,271.35419240813627,34748900
2020-08-24,274.7445373535156,277.04028604297747,272.4584552854992,276.31378179636124,36418500
2020-08-25,276.9046630859375,277.0984093800645,273.52400605261994,273.9695870552712,34866600
2020-08-26,282.8135681152344,283.0654323833306,276.87560194106163,278.15425652465717,42216700
2020-08-27,281.9320068359375,284.64430649090735,279.6653176375187,283.7918703011033,49482700
2020-08-28,283.36572265625,283.99535377431664,281.8158409768699,283.1719763607521,28021000
2020-08-31,285.6421203613281,287.45353300882533,283.4529112905165,283.8888256925662,36321000
2020-09-01,290.5242004394531,290.6404363820937,286.5235792315615,288.29623647989314,36216200
2020-09-02,293.2752990722656,293.9921072711585,287.5891961590091,293.77899813614454,50836800
2020-09-03,278.4060974121094,289.26490515458613,275.5000806360954,288.76120622222834,110083300
2020-09-04,274.6960754394531,279.8784781117177,263.28511702709073,276.61405721893505,123959000
2020-09-08,261.4930419921875,269.50394951816503,261.2121188094273,263.6919169898988,99568600
