veg_fast_band_width,veg_slow_band_width,veg_price_position,veg_filter_slope,veg_signal,hull_value,hull_slope,hull_signal,macd_line,signal_line,macd_hist,macd_bullish,macd_crossover,rsi,rsi_overbought,stoch_k,stoch_d,stoch_bullish,volume_ratio,atr_pct,bb_width,spy_return_15d,relative_strength,day_of_week,month,quarter,return_1d,return_3d,return_5d,return_10d,return_20d,target_15d,target_max_drawdown,target_success
0.012848170649438183,0.024592503057327925,-0.22409804302374972,0.0033006445458529537,1,450.1509527395543,-0.005772774680866942,0,-7.4495224028001985,-7.411851931356559,-0.03767047144363911,0,0,50.23283927440921,0,75.10562061555248,57.641776894868165,1,0.8339690211544909,0.023342348554929893,0.12646953292999832,-2.1199702639879137,0.8620024514103636,1,8,3,2.481284771033021,3.2383253639536314,5.244234881986021,1.1037482469313131,-6.801791923501222,-0.42587333829655627,-4.536792239649831,0
0.0127677903599053,0.02461682652182467,-0.2230825778024509,0.0028344482503062443,1,448.17671631227387,-0.00438572086822329,0,-6.235298421383618,-7.1765412293619715,0.9412428079783535,0,1,50.3208328077339,0,75.39348909234491,68.03584639193572,1,0.73920394109302,0.022703789668662672,0.11926414763089199,0.4655923188406019,0.8595703200231615,2,8,3,0.03242234631908314,2.7352696807480203,6.430990714319829,-1.770434841216184,-3.9520968714125693,-0.3652199108278853,-4.536792239649831,0
0.012737214457530278,0.02465448555864478,-0.3726743474195828,0.006338658120409693,1,447.0445843312254,-0.0025260838857582325,0,-4.287888105152945,-6.598810604520167,2.310922499367222,0,1,56.741084265491075,0,97.83116869739739,82.77675946843158,1,0.8243974756776407,0.022382883357083334,0.11355350701465909,2.722835307722349,0.8664348087377166,3,8,3,2.5263149216587566,5.104351011714581,5.880768485268106,3.211074323479557,-1.0573686849943864,-5.423461421760855,-7.007255307134619,0
0.01270784429043428,0.02469224027877875,-0.37507380173513527,0.005534364742280224,1,446.6224719872779,-0.0009442287385697331,0,-2.6650041721677553,-5.812049318049684,3.147045145881929,0,1,57.05298461410845,0,97.39424999904378,90.206302596262,1,0.829885620358614,0.02147316187847062,0.11330265468652564,1.812861845496072,0.8656081285929174,4,8,3,0.1285797559254398,2.69142718579487,5.466120067637736,5.856275042183157,-0.04418857165459089,-4.3302572236959325,-7.007255307134619,0
0.012703608745611102,0.024736739124728343,-0.45052737332091625,0.006739240691185942,1,446.9170145945804,0.0006594889997180736,0,-0.8693711659749965,-4.823513687634747,3.95414252165975,0,1,60.2131602149984,0,99.93085279904875,98.38542383182995,1,0.5225856361764688,0.020859268228222833,0.11109558527783175,2.7259609395072104,0.8686729346947996,0,8,3,1.3135947310879637,4.00665496471897,6.621914376996796,10.54274963062165,-0.21769963752021892,-4.697977438968959,-7.007255307134619,0
0.012692951878256033,0.02477935603602175,-0.43037490902554076,0.005329506021172338,1,447.7503996957907,0.0018647423883968704,1,0.46744815838764,-3.7653213184302694,4.232769476817909,0,1,59.45061711794511,0,95.49504871928369,97.60671717245872,0,0.6388749756670509,0.02006297760489662,0.1110893301385354,3.081184473974896,0.8682617072023332,1,8,3,-0.2098644070093525,1.2309689413226188,3.82203264368286,9.266703894769801,-0.0749121112522011,-2.4236858484143253,-7.007255307134619,0
0.012689864115392227,0.02482393940606402,-0.45267722358017076,0.005224177255492914,1,449.05248180458335,0.002908053481755276,1,1.686743904035609,-2.6749082739370937,4.361652177972703,0,1,60.641125359548276,0,96.93040808501898,97.45210320111711,0,0.582335173395797,0.019291008928203995,0.11826508758287191,1.7810081238947228,0.8693241423806866,2,8,3,0.4664265392934297,1.572535328436242,4.272478573448324,10.978231988097908,4.126204277937817,-1.923318236282201,-7.007255307134619,0
0.01265216000424653,0.024858824466885067,-0.3467594548307271,0.001888527121832688,1,450.48761059536866,0.0031959043740678985,1,2.0174575011897105,-1.736435118911733,3.7538926201014435,0,1,54.73131630420458,0,82.78304001408122,91.73616560612794,0,0.8779499395734197,0.019966136274266976,0.12313071639941911,2.4327243834866286,0.8623088029634172,3,8,3,-1.5855028011754535,-1.3339718120714439,0.09063095969406021,5.976729241877754,3.6179518953994627,0.1031956775471965,-6.522913438746983,1
0.012635115994200169,0.02489916185518674,-0.4081907840805246,0.0032808228163888793,1,452.14474424803717,0.0036785332464047624,1,2.6610972359701464,-0.8569286479353574,3.5180258839055036,0,1,57.71865752743029,0,89.17339390875973,89.6289473359533,0,0.8427647704391169,0.019515173812778723,0.12666757078182084,5.485064461292444,0.8624966582868626,4,8,3,1.0845588413939788,-0.0541298722329997,1.0462477284733707,6.5695569531543985,3.6784211796935473,-1.4083375923606423,-6.522913438746983,0
0.012596575494283802,0.024933370541477786,-0.34189544985728976,0.0012465491837814816,1,453.80868832432157,0.003680113719007623,1,2.7662988085853613,-0.1322831566312137,2.898581965216575,0,1,54.23128624322547,0,80.06649001230765,84.00764131171618,0,0.642147681148318,0.01937180303883654,0.13030314100573687,8.39034120878679,0.8561642765316074,0,8,3,-0.970833898960366,-1.4839432939864672,-1.2321527357739948,5.308169542066032,2.4660532371508115,-0.3891866786730369,-5.887652314126771,0
